Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
-96,92,1094,6072,7789,-659,-7366,5917,-4258,3709,4797,-2832,-766,8127,7655,3410,forward
-96,92,1094,6072,7789,-659,-7366,5917,-4258,3709,4797,-2832,-766,8127,7655,3410,forward
-70,29,5723,1876,2296,-3950,-2131,6732,-7890,3117,4705,-5577,762,7997,-7154,-7479,forward
-70,29,5723,1876,2296,-3950,-2131,6732,-7890,3117,4705,-5577,762,7997,-7154,-7479,forward
84,-104,2561,1857,8028,-7859,-5996,6628,8054,-4271,2032,5473,-4462,2229,-8112,-921,forward
84,-104,2561,1857,8028,-7859,-5996,6628,8054,-4271,2032,5473,-4462,2229,-8112,-921,forward
-33,14,-4979,-906,-572,8133,-3768,-4544,-7653,-3333,-1986,-1271,-1983,-2940,-5649,8132,forward
-33,14,-4979,-906,-572,8133,-3768,-4544,-7653,-3333,-1986,-1271,-1983,-2940,-5649,8132,forward
63,10,7524,158,5494,-3403,-7972,-6518,2195,2033,-7409,-40,1169,-3823,-2959,-7911,forward
63,10,7524,158,5494,-3403,-7972,-6518,2195,2033,-7409,-40,1169,-3823,-2959,-7911,forward
47,-59,-7244,6131,-2045,-4721,-1897,5554,5635,-3316,169,2937,-5479,3429,-3559,-7228,forward
83,-9,-5381,4638,5081,6687,-5543,-2173,5972,6990,-7225,-3974,-6181,6982,6730,-2456,forward
83,-9,-5381,4638,5081,6687,-5543,-2173,5972,6990,-7225,-3974,-6181,6982,6730,-2456,forward
17,94,-6973,-7605,7518,1258,4953,5037,4385,2511,1038,4690,1678,-4061,1605,994,forward
17,94,-6973,-7605,7518,1258,4953,5037,4385,2511,1038,4690,1678,-4061,1605,994,forward
16,-36,-6235,3964,1188,-3675,-3257,252,3577,5768,1809,7134,-7041,5963,-3779,6383,forward
16,-36,-6235,3964,1188,-3675,-3257,252,3577,5768,1809,7134,-7041,5963,-3779,6383,forward
-56,37,5591,-1714,5415,7651,-511,6132,3461,6258,4004,327,-4957,-1449,1018,1779,forward
-56,37,5591,-1714,5415,7651,-511,6132,3461,6258,4004,327,-4957,-1449,1018,1779,forward
-11,-5,-2583,6683,-1201,-5294,-1753,-7386,-2684,-4946,-3891,2804,4865,957,-4747,-4133,forward
-11,-5,-2583,6683,-1201,-5294,-1753,-7386,-2684,-4946,-3891,2804,4865,957,-4747,-4133,forward
53,105,2090,3670,-4687,7637,5186,5341,252,4430,5846,-5823,-2536,5718,7664,1021,forward
53,105,2090,3670,-4687,7637,5186,5341,252,4430,5846,-5823,-2536,5718,7664,1021,forward
77,-1,-6849,6841,2161,-7487,7929,2599,-7446,6957,3882,4818,1804,4500,7968,7342,forward
